"Top Spin 4","2KCzech","2KSports","2011","sports","X360","topspin4.jpg","My Games","5","A tennis simulation video game.",""
"Virtua Tennis 4","sega","sega","2011","sports","X360","virtuatennis4.jpg","My Games","5","An arcade tennis video game.",""
"Tennis World Tour","Bigben interaction","Bigben interaction","2018","sports","PS4-NS-X1","tennisworldtour.jpg","My Games","4.5","A tennis world tour simulation video game.",""
"AO Tennis","Big Ant Studios","Big Ant Studios","2018","sports","PS4-X1","aotennis.png","My Games","3","A AO Tennis video game.",""
"NBA Live","EA Sports","EA Sports","2017","sports","PS4-X1","nba_live.jpg","My Games","5","An NBA simulation video game.",""
"Golf","EA Sports","EA Sports","2015","sports","PS4","golf.jpg","My Games","3","A PGA Tour simulation video game.",""
"Need for Speed Payback","Electronic Arts","Electronic Arts","2017","racing","PS4-X1-PC","need_for_speed_payback.jpg","Recently Played","4","A racing video game with realistic images thanks to EA´s Frostbite 3 engine.",""
"Star Wars Battlefront II","EA DICE","Electronic Arts","2017","action shooter","PS4-X1-PC","starwars_battlefront_II.jpg","My Favorites","4","An action shooter vieo game based on the Star Wars world.",""
